 Customer_ID ,Customer_Name,Region,Revenue_Q1,Revenue_Q2,Revenue_Q3,Expenses,Profit
C001,Aarav,Tamil Nadu,227621,197545,232301,383745,273722
C002,Diya,Telangana,96579,109779,125676,249678,82356
C003,Rohan,Rajasthan,82790,88909,74261,133890,112070
C004,Anaya,Madhya Pradesh,120990,125503,104511,200668,150336
C005,Vihaan,Delhi,230363,258368,263889,479264,273356
C006,Ishita,Gujarat,132926,155264,127800,303470,112520
C007,Arjun,Karnataka,243013,243432,232082,413858,304669
C008,Meera,Maharashtra,148236,128068,128370,248200,156474
C009,Kabir,Tamil Nadu,150165,162118,195744,360562,147465
C010,Saanvi,Telangana,200568,175231,221264,322705,274358
C011,Aditya,Rajasthan,136854,161028,179850,355453,122279
C012,Aanya,Madhya Pradesh,211349,190781,162809,390897,174042
C013,Vivaan,Delhi,135861,168962,207916,382137,130602
C014,Myra,Gujarat,159647,149992,168760,294146,184253
C015,Reyansh,Karnataka,157040,152763,174407,340144,144066
C016,Anika,Maharashtra,239187,262784,292316,448371,345916
C017,Atharv,Tamil Nadu,124175,110548,110784,268554,76953
C018,Kiara,Telangana,227772,254172,235214,433388,283770
C019,Dhruv,Rajasthan,74663,68577,57289,120722,79807
C020,Ira,Madhya Pradesh,130186,110457,138988,253391,126240
C021,Arnav,Delhi,248196,237104,269020,469838,284482
C022,Navya,Gujarat,228519,232473,220185,397891,283286
C023,Rudra,Karnataka,207159,217881,256787,430500,251327
C024,Tara,Maharashtra,212969,211210,195427,482895,136711
C025,Yash,Tamil Nadu,193569,199804,236323,468422,161274
C026,Avni,Telangana,100066,109052,130884,214120,125882
C027,Karan,Rajasthan,76653,75537,83545,151269,84466
C028,Riya,Madhya Pradesh,125906,155816,192148,247826,226044
C029,Dev,Delhi,248932,216385,269334,525443,209208
C030,Nisha,Gujarat,228024,220333,211713,370379,289691
C031,Ayaan,Karnataka,60850,74854,92849,134499,94054
C032,Pihu,Maharashtra,191225,219458,233434,352761,291356
C033,Rahul,Tamil Nadu,223918,212348,239251,458224,217293
C034,Simran,Telangana,100065,98142,88086,219847,66446
C035,Manav,Rajasthan,199029,241810,267802,458517,250124
C036,Kavya,Madhya Pradesh,89325,108932,135270,245553,87974
C037,Om,Delhi,140612,129779,121423,261540,130274
C038,Sneha,Gujarat,80645,69099,72780,119716,102808
C039,Varun,Karnataka,199645,229453,202292,406345,225045
C040,Aditi,Maharashtra,204127,181878,195206,393895,187316
C041,Harsh,Tamil Nadu,115521,140870,166582,295812,127161
C042,Neha,Telangana,246895,235547,305662,542978,245126
C043,Akash,Rajasthan,174845,211008,218754,353365,251242
C044,Shreya,Madhya Pradesh,76784,74125,81714,134881,97742
C045,Ritesh,Delhi,117728,96900,112381,175050,151959
C046,Tanvi,Gujarat,77668,93926,115775,154726,132643
C047,Mohit,Karnataka,122391,115016,121111,236693,121825
C048,Palak,Maharashtra,249622,305105,333815,571238,317304
C049,Siddharth,Tamil Nadu,183987,214753,195725,324103,270362
C050,Mahi,Telangana,172997,168213,171127,381484,130853
C051,Aarav,Rajasthan,74200,82328,106400,143450,119478
C052,Diya,Madhya Pradesh,165544,187583,225903,317545,261485
C053,Rohan,Delhi,110224,99398,102910,196798,115734
C054,Anaya,Gujarat,133018,135536,168031,235581,201004
C055,Vihaan,Karnataka,204264,176096,199521,383042,196839
C056,Ishita,Maharashtra,63868,78983,99886,179785,62952
C057,Arjun,Tamil Nadu,103597,103053,108314,234588,80376
C058,Meera,Telangana,75370,67139,55123,122830,74802
C059,Kabir,Rajasthan,179277,168996,195082,385744,157611
C060,Saanvi,Madhya Pradesh,205691,227207,239385,382780,289503
C061,Aditya,Delhi,117068,144759,158946,278118,142655
C062,Aanya,Gujarat,142209,120107,132166,256705,137777
C063,Vivaan,Karnataka,199231,176856,226583,325941,276729
C064,Myra,Maharashtra,108712,92346,78736,208187,71607
C065,Reyansh,Tamil Nadu,165847,144544,180295,286568,204118
C066,Anika,Telangana,215849,180684,155271,381250,170554
C067,Atharv,Rajasthan,208170,217495,275926,402086,299505
C068,Kiara,Madhya Pradesh,247745,236621,224197,392563,316000
C069,Dhruv,Delhi,229214,217523,211381,470873,187245
C070,Ira,Gujarat,79016,65109,72802,144555,72372
C071,Arnav,Karnataka,86209,73407,67704,133880,93440
C072,Navya,Maharashtra,151490,181601,225557,344170,214478
C073,Rudra,Tamil Nadu,101352,102205,110457,187985,126029
C074,Tara,Telangana,231435,242415,276492,498374,251968
C075,Yash,Rajasthan,233903,202219,251055,404583,282594
C076,Avni,Madhya Pradesh,88058,100319,89746,164998,113125
C077,Karan,Delhi,115215,130028,119330,249696,114877
C078,Riya,Gujarat,129201,134023,126053,294340,94937
C079,Dev,Karnataka,73316,63028,64497,118885,81956
